,Country,Wins,Gold,Silver,Bronze,Loss
493,Athens-2,0,0,0,0,3
494,Bulgaria-2,0,0,0,0,4
495,Marga-2,0,0,0,0,2
496,Serendipity,0,0,0,0,1
497,L'Aile VI,0,0,0,0,3
498,Cercle de l'Aviron Roubaix-4,4,4,0,0,4
499,Caprice,0,0,0,0,1
500,"New College, Oxford-2",0,0,0,0,2
501,Compigne Polo Club,0,0,0,0,2
502,Vision,0,0,0,0,2
503,Cambridge University Boat Club-2,0,0,0,0,3
504,Trickson VI,0,0,0,0,2
505,St. Rose-2,0,0,0,0,6
506,Calcinhas,0,0,0,0,1
507,Gteborgs Roddfrening-2,0,0,0,0,1
508,Minerva Amsterdam,3,2,1,0,2
509,Chamukina,0,0,0,0,2
510,Nausikaa 4,0,0,0,0,1
511,New York Athletic Club-1,0,0,0,0,1
512,Arcturus,0,0,0,0,1
513,Belgium-1,0,0,0,0,11
514,St. Louis Southwest Turnverein #1-2,0,0,0,0,1
515,Nauru,0,0,0,0,6
516,Jo,0,0,0,0,1
517,Lucky Star,0,0,0,0,1
518,Namoussa,0,0,0,0,1
519,Briar,0,0,0,0,1
520,Panhellenios Gymnastikos Syllogos-1,0,0,0,0,3
521,Netherlands-1,1,1,0,0,1
522,Gabbiano,0,0,0,0,3
523,Gran Gesto,0,0,0,0,1
524,Ceres II,0,0,0,0,1
525,Covunco III,0,0,0,0,1
526,Chicago Archers,0,0,0,0,1
527,Royal Club Nautique de Gand,1,1,0,0,5
528,Roddklubben af 1912-1,0,0,0,0,3
529,Roddklubben af 1912-2,0,0,0,0,4
530,Bucintoro Venezia-1,0,0,0,0,2
531,Bucintoro Venezia,0,0,0,0,4
532,Edelweiss II-1,0,0,0,0,3
533,Bamba,0,0,0,0,3
534,Rush IV,0,0,0,0,1
535,Boston Archers,0,0,0,0,3
536,Ali-Baba IV,0,0,0,0,2
537,Ali-Baba VI,0,0,0,0,2
538,Ali-Baba IX,0,0,0,0,2
539,Upton Park FC,0,0,0,0,3
540,"BLO Polo Club, Rugby",0,0,0,0,2
541,Hurlingham-2,0,0,0,0,1
542,Leander Club-1,0,0,0,0,3
543,Indonesia-2,0,0,0,0,2
544,Western Rowing Club-3,0,0,0,0,2
545,Pigoule,0,0,0,0,1
546,South Vietnam,0,0,0,0,4
547,Snowten III,0,0,0,0,2
548,Hungaria,0,0,0,0,1
549,Libellule de Paris,0,0,0,0,3
550,Scram,0,0,0,0,1
551,United States Virgin Islands-2,0,0,0,0,1
552,United States Virgin Islands-1,0,0,0,0,1
553,Amstel Amsterdam,0,0,0,0,2
554,Scotland-3,0,0,0,0,3
555,Peri II,0,0,0,0,2
556,Liverpool Police Team-2,0,0,0,0,2
557,Vinha,0,0,0,0,1
558,Fantasio III,0,0,0,0,1
559,Pousse-Moi Pas VII,0,0,0,0,1
560,Norwegian Rowing Association,0,0,0,0,1
561,LaBandera,0,0,0,0,3
562,Gilliatt V,0,0,0,0,1
563,United States Golf Association-3,0,0,0,0,2
564,Trans-Mississippi Golf Association-2,0,0,0,0,1
565,China-2,1,1,0,0,3
566,China-1,7,5,2,0,9
567,Sarcelle-35,0,0,0,0,1
568,Sarcelle-3,1,1,0,0,1
569,Tango,1,1,0,0,2
570,Argentina-1,0,0,0,0,5
571,Brynhild-2,0,0,0,0,1
572,Espuma del Mar,0,0,0,0,3
573,Twins II,0,0,0,0,1
574,Pupilles de Neptune de Lille #2-1,0,0,0,0,2
575,Beaver,0,0,0,0,2
576,Monaco-2,0,0,0,0,1
577,Baccara,0,0,0,0,2
578,Cobweb-1,0,0,0,0,2
579,Ral-Club Barcelona,0,0,0,0,1
580,Vietnam,0,0,0,0,19
581,Elvis Va,0,0,0,0,1
582,Romolo,0,0,0,0,1
583,Aldebaran II,0,0,0,0,1
584,Aldebaran,0,0,0,0,1
585,Argus,0,0,0,0,2
586,Galatea II,0,0,0,0,2
587,Twins VIII,0,0,0,0,2
588,Antwerpia V,1,1,0,0,1
589,Lotta IV,0,0,0,0,1
590,Saga-2,0,0,0,0,1
591,Mari,0,0,0,0,1
592,Paula,0,0,0,0,3
593,Oranje,0,0,0,0,2
594,Willem-Six,0,0,0,0,1
595,DeRuyter,0,0,0,0,3
596,Acturus,0,0,0,0,1
597,Societ Nautique de la Marne,0,0,0,0,5
598,Mexico-2,0,0,0,0,1
599,Teresita,0,0,0,0,2
600,Barion/Bari-2,0,0,0,0,3
601,Eissero VI,0,0,0,0,2
602,New York Athletic Club-4,0,0,0,0,2
603,K Division Metropolitan Police Team-3,0,0,0,0,3
604,Israel-1,0,0,0,0,2
605,Hong Kong-1,0,0,0,0,2
606,Malaysia-1,1,1,0,0,4
607,Cambodia,0,0,0,0,5
608,Complex II,0,0,0,0,1
609,Allegro,0,0,0,0,2
610,Gam II,0,0,0,0,1
611,Ylliam VIII,0,0,0,0,1
612,Quand-Mme-33,0,0,0,0,1
613,Quand-Mme-2,0,0,0,0,3
614,United States-9,0,0,0,0,1
615,Berliner Ruderclub Sport-Borussia-1,0,0,0,0,3
616,Smyrna,0,0,0,0,2
617,Chinese Taipei-2,0,0,0,0,4
618,Calimucho,0,0,0,0,1
619,Bhutan,0,0,0,0,9
620,North Korea-1,0,0,0,0,1
621,Malaysia-2,0,0,0,0,3
622,Kingfisher,0,0,0,0,1
623,Yangon,0,0,0,0,1
624,Gustel V,0,0,0,0,1
625,Sonja II,0,0,0,0,2
626,Jill,0,0,0,0,1
627,Kiel,0,0,0,0,1
628,KNS,0,0,0,0,1
629,Galt Football Club,0,0,0,0,2
630,Tim-Tam III,0,0,0,0,2
631,Uragan,0,0,0,0,1
632,Kon-Tiki,0,0,0,0,1
633,Babe,0,0,0,0,2
634,Poland-2,0,0,0,0,3
635,Antares,0,0,0,0,1
636,Venilia,0,0,0,0,3
637,Hatuey,0,0,0,0,2
638,Mauritius-1,0,0,0,0,1
639,Cincinnati Archers,0,0,0,0,2
640,Morena,0,0,0,0,1
641,Libellule de Paris-3,0,0,0,0,1
642,Societ Nautique de la Marne-3,0,0,0,0,3
643,"Osborne Swimming Club, Manchester",0,0,0,0,2
644,Brussels Swimming and Water Polo Club,0,0,0,0,3
645,Ancora,0,0,0,0,1
646,Saskia,0,0,0,0,2
647,Wales-4,0,0,0,0,1
648,SagaII,0,0,0,0,1
649,Gem,0,0,0,0,1
650,June Climene,0,0,0,0,2
651,Cambria,0,0,0,0,2
652,Oleander XII,0,0,0,0,1
653,Phoenix,0,0,0,0,1
654,Ylliam VII,0,0,0,0,1
655,Ballerina IV,0,0,0,0,1
656,Chicago Athletic Association,0,0,0,0,1
657,Calypse II,0,0,0,0,1
658,Scotland,0,0,0,0,1
659,Scotland-2,0,0,0,0,1
660,Ciocca,0,0,0,0,1
661,Esperia,0,0,0,0,1
662,Tournade-40,0,0,0,0,1
663,Tornade-16,0,0,0,0,1
664,Galejan,0,0,0,0,2
665,Great Britain-4,0,0,0,0,2
666,Cuba-1,0,0,0,0,1
667,Marshall Islands,0,0,0,0,2
668,United States-6,0,0,0,0,1
